
Train set: Average loss: 0.0348, Accuracy: 368/425 (87%)


Train set: Average loss: 0.0302, Accuracy: 365/425 (86%)


Train set: Average loss: 0.0249, Accuracy: 382/425 (90%)


Train set: Average loss: 0.0225, Accuracy: 380/425 (89%)


Train set: Average loss: 0.0178, Accuracy: 398/425 (94%)


Train set: Average loss: 0.0176, Accuracy: 402/425 (95%)


Train set: Average loss: 0.0160, Accuracy: 401/425 (94%)


Train set: Average loss: 0.0089, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0090, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0104, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0094, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0140, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0134, Accuracy: 400/425 (94%)


Train set: Average loss: 0.0122, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0098, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0058, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0049, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0058, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0127, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0038, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0068, Accuracy: 414/425 (97%)


 The epoch is 10, average recall: 0.7414, average precision: 0.8600,average F1: 0.7963, average accuracy: 0.8136, average AUC: 0.8922
Train set: Average loss: 0.0054, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0083, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0069, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0074, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0043, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0035, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0026, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0026, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0040, Accuracy: 420/425 (99%)


 The epoch is 20, average recall: 0.6724, average precision: 0.8298,average F1: 0.7429, average accuracy: 0.7712, average AUC: 0.8779
Train set: Average loss: 0.0039, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0026, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0059, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0036, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0046, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0049, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0027, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0051, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0040, Accuracy: 421/425 (99%)


 The epoch is 30, average recall: 0.6724, average precision: 0.8298,average F1: 0.7429, average accuracy: 0.7712, average AUC: 0.8825
Train set: Average loss: 0.0017, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0056, Accuracy: 418/425 (98%)


